iter	Passed	Remaining
589	40876	166970
590	40944	166894
591	41021	166858
592	41078	166737
593	41166	166743
594	41224	166629
595	41307	166615
596	41360	166479
597	41419	166368
598	41486	166293
599	41578	166314
600	41637	166204
601	41691	166071
602	41779	166077
603	41833	165949
604	41922	165958
605	42015	165980
606	42094	165950
607	42182	165954
608	42257	165908
609	42346	165915
610	42430	165902
611	42516	165898
612	42605	165904
613	42658	165770
614	42738	165741
615	42817	165710
616	42870	165577
617	42921	165433
618	43006	165424
619	43104	165466
620	43176	165405
621	43266	165415
622	43340	165361
623	43425	165352
624	43486	165247
625	43563	165207
626	43629	165125
627	43691	165026
628	43751	164920
629	43832	164893
630	43918	164884
631	44000	164862
632	44085	164849
633	44136	164712
634	44201	164624
635	44276	164575
636	44356	164543
637	44435	164510
638	44495	164404
639	44561	164319
640	44621	164213
641	44685	164125
642	44746	164024
643	44828	163998
644	44881	163870
645	44934	163740
646	44988	163614
647	45054	163532
648	45137	163511
649	45192	163389
650	45264	163326
651	45338	163275
652	45403	163186
653	45464	163087
654	45553	163086
655	45618	163003
656	45693	162954
657	45752	162844
658	45838	162833
659	45897	162727
660	45964	162647
661	46027	162556
662	46090	162463
663	46161	162400
664	46243	162372
665	46328	162357
666	46402	162305
667	46488	162292
668	46549	162192
669	46624	162142
670	46676	162009
671	46765	162009
672	46848	161985
673	46909	161885
674	46990	161855
675	47089	161887
676	47176	161876
677	47264	161871
678	47345	161837
679	47412	161761
680	47502	161758
681	47569	161681
682	47649	161646
683	47704	161524
684	47783	161486
685	47835	161356
686	47887	161229
687	47973	161214
688	48031	161103
689	48092	161006
690	48145	160878
691	48213	160803
692	48267	160681
693	48347	160646
694	48404	160536
695	48467	160442
696	48530	160350
697	48609	160312
698	48676	160235
699	48740	160148
700	48818	160106
701	48907	160100
702	48990	160071
703	49090	160101
704	49167	160056
705	49264	160075
706	49362	160096
707	49450	160083
708	49533	160057
709	49588	159941
710	49666	159897
711	49743	159849
712	49819	159800
713	49876	159687
714	49962	159668
715	50046	159645
716	50118	159582
717	50181	159492
718	50262	159455
719	50346	159431
720	50417	159365
721	50505	159352
722	50595	159344
723	50687	159343
724	50776	159334
725	50857	159298
726	50945	159283
727	51006	159185
728	51083	159137
729	51145	159040
730	51226	159004
731	51315	158992
732	51400	158970
733	51489	158958
734	51571	158925
735	51671	158947
736	51759	158929
737	51863	158963
738	51952	158950
739	52050	158965
740	52164	159028
741	52248	158998
742	52316	158920
743	52388	158855
744	52446	158745
745	52527	158709
746	52586	158604
747	52668	158567
748	52734	158484
749	52821	158463
750	52894	158402
751	52980	158378
752	53063	158345
753	53150	158323
754	53258	158365
755	53322	158274
756	53396	158214
757	53488	158207
758	53572	158177
759	53651	158130
760	53728	158077
761	53815	158056
762	53905	158042
763	53985	157998
764	54069	157967
765	54158	157949
766	54222	157859
767	54304	157821
768	54372	157744
769	54455	157708
770	54527	157641
771	54599	157575
772	54677	157524
773	54733	157412
774	54824	157398
775	54900	157344
776	54989	157324
777	55054	157237
778	55142	157215
779	55227	157184
780	55293	157100
781	55374	157058
782	55460	157030
783	55538	156982
784	55623	156951
785	55705	156911
786	55787	156871
787	55871	156837
788	55951	156790
789	56036	156758
790	56107	156689
791	56169	156592
792	56223	156476
793	56303	156430
794	56378	156371
795	56439	156270
796	56530	156256
797	56592	156160
798	56672	156115
799	56756	156080
800	56835	156032
801	56906	155959
802	56990	155925
803	57071	155881
804	57145	155818
805	57198	155697
806	57261	155607
807	57319	155500
808	57390	155430
809	57441	155304
810	57491	155177
811	57544	155059
812	57598	154942
813	57651	154823
814	57749	154825
815	57841	154811
816	57942	154820
817	58028	154788
818	58097	154713
819	58185	154688
820	58252	154606
821	58311	154503
822	58382	154434
823	58446	154345
824	58537	154327
825	58616	154276
826	58668	154156
827	58748	154108
828	58801	153989
829	58888	153961
830	58973	153926
831	59042	153852
832	59130	153824
833	59206	153767
834	59261	153653
835	59315	153538
836	59392	153483
837	59450	153380
838	59515	153292
839	59599	153254
840	59678	153204
841	59757	153154
842	59829	153086
843	59915	153054
844	59969	152940
845	60045	152882
846	60119	152818
847	60193	152755
848	60270	152698
849	60345	152639
850	60416	152568
851	60487	152497
852	60551	152408
853	60632	152363
854	60713	152315
855	60808	152305
856	60899	152283
857	60976	152229
858	61082	152242
859	61145	152152
860	61247	152157
861	61337	152134
862	61431	152118
863	61507	152060
864	61579	151991
865	61638	151890
866	61724	151855
867	61809	151817
868	61875	151734
869	61959	151694
870	62038	151642
871	62115	151585
872	62171	151475
873	62223	151359
874	62274	151239
875	62349	151176
876	62415	151093
877	62466	150972
878	62564	150965
879	62625	150870
880	62692	150789
881	62793	150789
882	62863	150716
883	62945	150669
884	63007	150576
885	63096	150547
886	63147	150428
887	63232	150391
888	63306	150326
889	63363	150222
890	63440	150164
891	63508	150085
892	63588	150035
893	63653	149948
894	63706	149835
895	63791	149796
896	63858	149714
897	63922	149626
898	64005	149582
899	64078	149517
900	64156	149462
901	64225	149383
902	64285	149287
903	64362	149229
904	64413	149111
905	64505	149089
906	64590	149049
907	64662	148979
908	64727	148895
909	64802	148831
910	64856	148721
911	64946	148694
912	65032	148656
913	65119	148619
914	65171	148505
915	65252	148457
916	65308	148350
917	65385	148293
918	65439	148183
919	65520	148133
920	65588	148055
921	65642	147944
922	65720	147889
923	65803	147843
924	65871	147766
925	65964	147743
926	66047	147699
927	66124	147639
928	66180	147534
929	66245	147450
930	66320	147386
931	66376	147282
932	66459	147237
933	66512	147124
934	66583	147052
935	66647	146966
936	66735	146931
937	66800	146846
938	66889	146814
939	66940	146698
940	67031	146672
941	67111	146619
